,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,size / dimensions,brake type,electric assist,handlebar type,suspension,part type
11242,100.0,chicago,https://chicago.craigslist.org/nwc/bik/d/bartlett-girl-boy-bikes/7466740622.html,2022-04-18 14:38,2 Girl / 2 Boy Bikes, other/unknown, other, n/a, other/unknown,4,"Have for sale 4 Clean and Great Riding Bikes!. a. Malibu AirWave Girl's 21 speed - 24"" wheel - Dual Suspension { $100 } b. X Games Attack Boy's aluminum - 20"" wheel 2 hand brakes { $100 }  c. Mongoose Slyde Girls 20"" wheel - 2 hand brakes { $75 } d. Megaramp BMX 20"" wheel - 2 hand brakes { $75 } Click on the Picture for a Close Up View. Thanks for Looking and Happy Cycling! Text or Call ::: Six30 Two89 One890 for a faster response. 630 289 1890 Pick Up and Cash Only",,,,,,,,,
11243,20.0,chicago,https://chicago.craigslist.org/sox/mpo/d/shorewood-fuel-pump-fits-yamaha-fzr-600/7470206753.html,2022-04-18 12:44,"Fuel Pump fits Yamaha FZR 600, & other bikes-REDUCed!",,,,,3,"Call or text:  779-,702-074eight . Can meet at Thorton Truck Sstop, I-55 & Route 6, 24144 W Eames St, Channahon, IL ---   -  Fits Yamaha FZR 600 & others,   - New pump,  was used once to see if old one was working.   - Price at store $49.95  Thanks for looking!",,,,,,,,,
11244,250.0,chicago,https://chicago.craigslist.org/nwi/bik/d/lake-station-columbia-his-and-hers/7470035488.html,2022-04-18 12:03,Columbia his and hers 3 speed bikes, steel, cruiser, 21, 26 in,4,"Bikes are in good condition  3 speed internal hub  Men’s is free wheel hand brakes  Women’s is coster brake front hand brake Price is for both bikes  Tire size 26 Bearings repack new grease  Tuned up ready to ride  If you are reading the ad, it's available ? show contact info",,,,,,,,,
11245,100.0,chicago,https://chicago.craigslist.org/nwi/bik/d/lake-station-schwinn-lil-tiger-banana/7469397654.html,2022-04-18 11:28,Schwinn lil tiger banana seat bikes, steel, kids, Unknown, 12 in,4,"Bikes are in riding condition  Made in Chicago  Price is 100.00 each bike Tuned up ready to ride  If you are reading the ad, it's available ? show contact info",,,,,,,,,
11246,35.0,chicago,https://chicago.craigslist.org/nwc/tag/d/palatine-lego-star-wars-cloud-rider/7470242371.html,2022-04-18 10:44,Lego 75215 Star Wars Cloud-Rider Swoop Bikes,,,,,10,"Used LEGO 75215 Star Wars Cloud-Rider Swoop Bikes building set complete in excellent condition, but does not include the mini-figures and box.  Lead a high-speed Chase for the coating with this LEGO Star Wars 75215 Cloud-Rider Swoop Bikes set. Featuring LEGO brick versions of enfys nest and weazel’s Speeders from solo: a Star Wars story, each is equipped with an open mini figure cockpit and 2 stud shooters that are perfect for playing out action-packed LEGO mini figure battles!  Build 2 detailed swoop bike Speeders with stud shooters and cockpits for the gangsters to sit in! Includes Tobias beckett, enfys nest and weazel mini figures 355 pieces – for boys and girls between the ages of 8 and 14 LEGO Star Wars building toys are compatible with all lego construction sets for creative building  Contains all the Swoop bikes pieces. Does not include the mini-figures and box. Asking $35.00. Located in Palatine (53 and Northwest Highway). If interested, please call at  show contact info . I will not respond to emails", excellent, Lego, 752015, 10.32 x 7.52 x 2.4 inches,,,,,
11247,499.0,chicago,https://chicago.craigslist.org/nch/spo/d/morton-grove-cybex-700r-recumbent/7461659818.html,2022-04-18 09:10,Cybex 700R Recumbent Stationary Bike Cycle - Indoor Bikes For Home Gy,,,,,0,,,,,,,,,,
11248,20.0,chicago,https://chicago.craigslist.org/nwc/bop/d/streamwood-incomplete-bikes/7460630136.html,2022-04-18 08:14,incomplete bikes,,,,,8,"-   I have 2 bikes missing some parts  use for parts, or repair  $25 takes both  please call (no texxt)  63o71o8414  thanx Joe",,,,,,,,,
11249,250.0,chicago,https://chicago.craigslist.org/nwc/bik/d/hanover-park-two-mongoose-hitch-fat/7472582142.html,2022-04-17 21:30,TWO (2) Mongoose Hitch Fat Tire bikes (parts or fix),,,,,0,,,,,,,,,,
11250,40.0,chicago,https://chicago.craigslist.org/wcl/bik/d/la-grange-or-bikes-rack-or-hitch-rack/7463556969.html,2022-04-17 13:47,### 2 OR 3 BIKES RACK OR HITCH RACK FOR 3 BIKE, aluminum, hybrid/comfort," 21""", 27 in,3,2 BIKES RACK  $40 3 BIKES RACK  $50 NEW HITCH 532 FOR 3 BIKES  $90  CALL  show contact info,,,,,,,,,
11251,600.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-52cm-se-bikes-premium-ale-fixed/7462201121.html,2022-04-17 12:14,52cm SE Bikes Premium Ale fixed gear track bike 2009 New (not stock),,,,,0,,,,,,,,,,
11252,90.0,chicago,https://chicago.craigslist.org/wcl/bop/d/saris-bones-bike-saris-bones-trunk-bike/7461171695.html,2022-04-17 10:53,"Saris Bones 3-Bike saris bones Trunk Bike Rack Carrier, Mount 3 Bikes,",,,,,0,"Saris Bones 3-Bike, Holds Three bikes and mounts on the trunk or hatch.  Saris Bones Trunk Bike Rack Carrier, Mount 3 Bikes When the Rack is gone, the Ad is gone.   Will only Respond to emails with RETURN Phone Numbers. Please, If you want a response,  Leave a phone Number.   If you are reading this Ad, the item is still Available, Thanks                   Yakima", excellent,,,,,,,,
11253,25.0,chicago,https://chicago.craigslist.org/sox/bik/d/palos-heights-razor-jr-scooter-huffy/7466065636.html,2022-04-17 10:31,"Razor JR Scooter, Huffy Princess and Magna 12.5 "" Bikes", steel, kids, 12.5, 12 in,4,"Razor JR. Scooter $ 25 . Huffy  Princess 12.5 "" $ 25   Retail at Walmart is  $ 80.00 . Magna 12.5 "" $ 25 These are used Items .  Could make good Birthday Present if you run out Ideas?   Call or 708/ text / 516 / 0842  I am not a robot, and I don't click on anything! .", fair, Huffy,,,,,,,
11254,200.0,chicago,https://chicago.craigslist.org/nwc/bik/d/arlington-heights-schwinn-road-bikes/7460455284.html,2022-04-17 09:17,Schwinn road bikes, steel, road," 21"", 23""", 27 in,5,restored and ridden road bikes, good, schwinn, traveler,, caliper, none, drop, none (rigid),
11255,100.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-schwinn-or-mgx-bike-or-racing/7467566230.html,2022-04-17 07:00,schwinn or mgx bike or racing bikes, other/unknown, mountain, ?, 24 in,3,a choice of bikes schwinn or mgx or huffy **$100 ea. obo also a racing bike a little more costly (ask if interested )(pics to inquirers),,,,,,,,,
11256,30.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-boys-12-inch-bikes-with/7472290685.html,2022-04-16 22:31,All Boys 12 inch bikes With Training Wheels Start at,,,,,0,,,,,,,,,,
11257,35.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-girls-20-inch-bikes-start-at/7472290468.html,2022-04-16 22:29,All Girls 20 inch bikes start at, aluminum, kids, small, 20 in,22,$125 Girls 20 inch Specialized Hot Rock bike has Rear Hand Brake Rear coaster brake kickstand Short frame all tuned up ready to ride.  $80 Girls 20 inch Road Master Granite Peak 6 Speed Mountain bike has F/R hand brakes Kickstand 6 Speeds Front Shock All tuned up ready to ride.  $40 Girls 20 inch Next Girl Talk Bike has Kickstand Rear Coaster Brake Handle bar pad Front Hand Brake All tuned up ready to ride.  $150 Girls 20 inch Specialized Hot Rock Hybrid bike Like New has Rear Hand Brake Rear Coaster Brake Kickstand Hybrid Tires Handle bar Pad Purple color All tuned up ready to ride.  $45 Girls 20 inch Kent Trouble Maker Bmx Style bike has Kickstand Free Wheel Gyro Bars F/R hand brakes F/R Pegs All Tuned up ready to ride.   $100 Boys/Girls 20 inch Mongoose Remix 7 Speed Mountain bike has Kickstand Front Shock 7 Speeds Water Bottle holder All Tuned up ready to ride.  $80 Girls 20 inch Huffy High Land 7 Speed mountain bike has 7 Speeds F/R hand brakes Kickstand Front Shock All tuned up ready to ride.  $100 Girls 20 inch Diamond Back Octane 7 Speed Mountain bike Has Front hock Kickstand Water Bottle holder All tuned up ready to ride.  $135 Girls 20 inch Specialized Hot Rock White Bike Like New Has Rear Hand Brake Rear Coaster Brake Kickstand Like New All tuned up ready to ride.   $60 Girls 20 inch 2 Cool Bike has Kickstand Front Pegs Rear Coaster Brake F/R hand brakes all tuned up ready to ride.  $100 Girls 20 inch Trek Mystic Bike has Rear Coaster brake Rear Hand Brake kickstand All tuned up ready to ride.  $35 Girls 20 inch Malibu Bike has F/R hand brakes Rear Coaster Brake Kickstand All tuned up ready to ride.  $35 Girls 20 inch Kent Taboo bike has Rear Coaster Brake Front Hand Brake Kickstand All tuned up ready to ride.  $40 Girls 20 inch Kent Cool 20 Bike has Rear Coaster Brake Kickstand Front Pegs F/R hand brakes All tuned up ready to ride.  $25 Girls 20 inch Magna Precious Pearls Bike has Kickstand Front Hand Brake Rear Coaster Brake All tuned up ready to ride.  $60 Girls 20 inch 2 Cool Bike has Kickstand Front Pegs Rear Coaster Brake F/R hand brakes all tuned up ready to ride.  $125 Girls 20 inch Trek Mystic Bicycle Has Kickstand Rear Coaster Brake Rear Hand Brake Basket Tassels Handle bar and Neck Pads All Tuned up ready to ride.  $125 Girls 20 inch Diamond Back Tess 6 Speed Mountain bike Has F/R hand brakes kickstand Bell Front Shock All tuned up ready to ride.  $125 Girls 20 inch Trek Mystic Pink bike has Rear Coaster Brake Kickstand Handle bar and Neck Pads Basket Rear Hand Brake All tuned up ready to ride.  $125 Girls 20 inch Trek Mystic Blue Bike with Basket Rear Coaster Brake Rear Hand Brake kickstand Bell Tassels all tuned up ready to ride.  $60 Girls 20 inch Kent peppermint bike has Rear coaster brake F/R Fenders Basket Handle bar pad Kickstand all tuned up ready to ride.  $125 Girls 20 inch Trek Mystic bike has Rear coaster Brake kickstand Rear Hand Brake handle bar and neck pads all tuned up ready to ride.  $100 Girls 20 inch Pacific Topaz 5 Speed Mountain bike has F/R hand brakes kickstand Front shock all tuned up ready to ride.  $120 Girls 20 inch Giant Mtx 7 Speed Mountain bike has F/R hand brakes kickstand Water bottle holder all tuned up ready to ride.  $50 Girls 20 inch Huffy Stylin Bike has Rear Hand Brake Rear coaster brake kickstand Hybrid tires handle bar pad all tuned up ready to ride.   $125 Girls 20 inch Trek Mystic Bike Hybrid tires Rear hand brake Rear coaster brake kickstand Bell Handle bar pad like New All tuned up ready to ride.  $65 Girls 20 inch Schwinn Starlet bike has kickstand Aluminum Wheels F/R hand brakes rear coaster brake Handle bar pad all tuned up ready to ride.  $125 Girls 20 inch Trek Mystic Rear coaster brake rear hand brake basket kickstand all tuned up ready to ride.  Girls 20 inch Schwinn Stardust bike shop bike $65  Girls 20 inch Schwinn Deelite With Doll carrier - $55  Girls 20 inch Schwinn Deelite Purple with Blue Rims Hand brakes $45  Girls 20 inch Next Slumber Party Bike $50  Girls 20 inch Schwinn Deelite purple bike hand brake and coaster brake some rust $50  Girls 20 inch Magna Bicycle $35  I have a great hobby fixing bike I love to do this I do have a few bikes to pick from so please email your number I will respond fast.  More bikes on my Website www.johnthebikeguy.com, good,,,, coaster,, riser, none (rigid),
11258,65.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-boys-20-inch-bmx-hybrid/7472290090.html,2022-04-16 22:27,"All Boys 20 inch Bmx, Hybrid, Mountain bikes start at", aluminum, kids, small, 20 in,23,$125 Boys 20 inch Giant GFR Bmx style bike has Kickstand Rear Hand Brake Rear Coaster Brake This is a Bike shop Bike not a Walmart Bike all tuned up ready to ride.  $150 Boys 20 inch Haro F3 Series Yellow Bmx Style bike has Rear Hand Brake Rear Pegs Free Wheel Gyro Bars All tuned up ready to ride.   $125 Boys 20 inch Mongoose Fuzz MX 1 Bmx Style bike Red has F/R hand brakes Free Wheel Pegs Kickstand All tuned up ready to ride.  $70 Boys 20 inch Next Wipeout Bmx Style bike has Rear Coaster Brake Kickstand Front Hand Brake Handle bar pad All tuned up ready to ride.  $125 Boys 20 inch Schwinn Raider Bmx Style bike has F/R hand brakes Rear Coaster Brake Handle bar pad Kickstand All Tuned Up Ready to ride.  $100 Boys 20 inch Black Bmx style bike has Rear Hand Brake Free Wheel Small sprocket in front All Tuned up ready to ride.  $100 Boys 20 inch Novara Duster  6 Speed Mountain bike has F/R hand brakes Front Shock Kickstand 6 Speeds F/R Fenders All tuned up ready to ride.  $100 Boys/Girls 20 inch Mongoose Remix 7 Speed Mountain bike has Kickstand Front Shock 7 Speeds Water Bottle holder All Tuned up ready to ride.  $80 Boys 20 inch Pacific Boa Bmx Style bike has Kickstand Rear Hand Brake Rear Coaster Brake All Tuned Up Ready to ride.  $100  Boys 20 inch Diamond Back Viper Bmx Style bike has Rear Hand Brake Kickstand Rear Coaster Brake all tuned up ready to ride.  $115 Boys 20 inch Diamond Back Bmx Style bike has Free Wheel Gyro Bars Kickstand F/R hand Brakes All tuned up ready to ride.  $70 Boys 20 inch Giant Frantic Bmx Style bike has Rear Hand Brake Kickstand Rear Coaster Brake F/R Fenders All tuned up Ready to ride.  $70 Boys 20 inch Trek Mountain Lion Bmx Style bike has Rear Coaster Brake Rear Hand Brake Kickstand All tuned up ready to ride.  $125 Boys 20 inch Diamond Back Grind Pro Bmx Style bike Has F/R hand brakes Free Wheel Gyro Bars Kickstand Small sprocket In Front and Rear All tuned up ready to ride.  $150 Boys 20 inch Haro F-3 Series Bmx Style bike Has F/R hand brakes Gyro Bars Free Wheel Kickstand All tuned up ready to ride.  $100 Boys 20 inch Schwinn Scheme Bike has Rear coaster Brake Rear Hand brake kickstand All tuned up ready to ride.  $65  Boys 20 inch Schwinn Aero Star Bmx Style bike Has Rear Coaster Brake Rear Hand Brake Kickstand Handle bar and Neck Pads All tuned up ready to ride.  $75 Boys 20 inch Diamond Back Viper Green Bmx Style bike has Kickstand Rear Hand Brake Rear Coaster Brake All tuned up ready to ride.  $125  Boys 20 inch Trek Jet Red Has Rear Coaster Brake Rear Hand Brake Kickstand Rear Fender Handle bar and Neck Pads All tuned up ready to ride.  $125 Boys 20 inch Diamond Back Venom BMX Style bike Had Free Wheel F/R hand brakes  Gyro Bars kickstand All tuned up ready to ride.  $100 Boys 20 inch Schwinn Spit Fire Bmx style bike has Rear Coaster Brake Rear Hand Brake Kickstand all tuned up ready to ride.  $150 Boys 20 inch Specialized Hot Rock bmx Style bike Rear coaster Brake Rear Hand Brake all tuned up ready to ride.  $60 Boys 20 inch Rallye 260 Bmx style bike has Rear Coaster Brake Handle bar and Neck pads Kickstand All tuned up ready to ride.  $125 Boys 20 inch Haro 100.1 Bmx Style bike has Rear Hand Brake Freestyle Free Wheel All tuned up ready to ride.  $75 Boys 20 inch Mongoose Strike Bmx Style bike has F/R hand brakes Free Wheel Kickstand All tuned up ready to ride.  $75 Boys 20 inch Giant Frantic Bicycle Has Rear Hand Brake Rear coaster Brake Rear pegs All tuned up ready to ride.  $100 Boys 20 inch Kent Ambush Bmx Style bike has F/R hand brakes Free Wheel Kickstand all tuned up ready to ride.  $200 Boys 20 inch Cannondale Bike has Kickstand Rear Coaster Brake Rear Hand Brake Bell all tuned up ready to ride.  $75 Boys 20 inch Schwinn Falcon Bmx style bike Has F/R hand brakes Rear Coaster Brake Kickstand Handle bar pad all tuned up ready to ride.  $70 Boys 20 inch Next flat Spin Bmx style bike has Free Wheel Kickstand Gyro bars F/R hand brakes all tuned up ready to ride.  $100 Boys 20 inch Diamond Back cobra 6 speed Mountain bike Blue has F/R hand brakes kickstand front shock all tuned up ready to ride.  $675 Boys 20 inch  Rare Mid-School 90's Schwinn Pro Modified BMX 20 inch bike Looks like to be all original ., good,,,, cantilever,, riser, suspension fork (hardtail),
11259,35.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-girls-inch-bikes-start-at/7472289981.html,2022-04-16 22:26,"All Girls 14, 16,18 inch Bikes start at",,,,,0,,,,,,,,,,
11260,25.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-girls-12-inch-bikes-with/7472290172.html,2022-04-16 22:27,All Girls 12 inch Bikes with Training wheels start at, steel, kids, small, 12 in,8,$65 Girls 12 inch Giant Puddin Bike shop bike with training wheels basket bell rear coaster brake.  $45 Girls 12 inch Huffy Frozen bike Like New has Training Wheels Rear Coaster Brake Handle bar pad  All tuned up ready to ride.  $45 Girls 12 inch Disney Princess Bike pink Has Rear Coaster Brake Training wheels all tuned up ready to ride.  $40 Girls 12 inch Diamond Back Della Cruz Bike has Wide seat Rear coaster brake Training wheels rear fender all tuned up ready to ride.  Girls 12 inch Radio Flyer Pink bike with Training wheels $35  Girls 12 inch Scott Bike with Training wheels $45  Girls 12 inch Dora Bike with Training Wheels $25  please email your number I will respond fast., good,,,, coaster,, cruiser, none (rigid),
11261,75.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-kids-bikes-12-and-16/7466520921.html,2022-04-16 18:28,"Kids bikes, 12"" and 16""", steel, kids, Medium, 16 in,2,"GT 12"" kids bike. Like new condition. $75 Giant 16"" bike. Excellent condition. $75",,,,,,,,,
11262,40.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-kids-bikes/7472163294.html,2022-04-16 15:17,Kids bikes, steel, bmx, 20 inch, 20 in,9,"Three 20” kids bikes for sale   Mongoose - sold  Green Schwinn (small tear in side of seat) $40 Black/teal Schwinn (small tear in side of seat, back tire is fairly worn) $35  Schwinn bikes have hand and pedal brakes.",, Schwinn,,,,,,,
11263,1.0,chicago,https://chicago.craigslist.org/wcl/wan/d/wanted-old-bmx-and-freestyle-bikes-from/7472096947.html,2022-04-16 12:59,WANTED OLD BMX AND FREESTYLE BIKES FROM 80S AND EARLY 90S💲,,,,,0,"*****EMAIL A PHONE NUMBER, PICTURE, LOCATION AND NAME OR IT WILL BE ASSUMED SPAM***********   WANTED: SE, HOMELESS, OZONE, SCHWINN PROFILE/ GJS MONGOOSE, HARO, HUTCH, REDLINE, SE RACING, DYNO, BULLY, WILKERSON AIRLINES, ANYTHING ELSE IN YOUR GARAGE, BASEMENT, CRAWLSPACE, OR SHED !",,,,,,,,,
11264,50.0,chicago,https://chicago.craigslist.org/chc/for/d/chicago-bike-stand-for-adult-bikes/7469335478.html,2022-04-16 12:13,Bike Stand for 2 Adult Bikes,,,,,0,,,,,,,,,,
11265,50.0,chicago,https://chicago.craigslist.org/nwc/bop/d/elmwood-park-bicycle-rack-for-bikes-2/7460839430.html,2022-04-16 10:15,"Bicycle Rack for 2 Bikes f/ 2"" receiver",,,,,2,2 Bike Bicycle Carrier Hitch RACK Receiver 2'' Heavy Duty Mount Rack Truck SUV, new,,,,,,,," racks, fenders, bags"
11266,200.0,chicago,https://chicago.craigslist.org/wcl/for/d/downers-grove-single-sided-bike-rack/7471954287.html,2022-04-16 07:33,Single sided Bike rack - holds 9 bikes,,,,,7,"Madrax single sided bike rack Black, new, 110"" long, Holds 9 bikes, Model GR116-B  Also have the double sided, black, 18 bike rack, model GR112-B available,  $265  Text 630.247.sixsix60 Search patchesz", new, Madrax, GR116-B," 110"" x 36"" wide x 30"" high",,,,,
11267,1234.0,chicago,https://chicago.craigslist.org/nch/wan/d/antioch-atvs-dirt-bikes-buy-call/7471949271.html,2022-04-16 07:08,ATV'S Dirt Bikes. I buy. CALL,,,,,4,Cash paid for dirt bikes and atv's. From newer to old and in pieces no problem. Call or text today.  show contact info  is the number.  Pics are helpful.  This is a ''Wanted Post''. No atv's or bikes are for sale., new,,,,,,,,
11268,275.0,chicago,https://chicago.craigslist.org/sox/bik/d/bradley-brand-new-mountain-bikes/7471859065.html,2022-04-15 19:36,2 brand new mountain bikes, steel, mountain, 26 inch, 26 in,7,"Hello I am selling 2 new never even sat on only rolled from store to my car bicycles still have store stickers on them bought for gifts both are 26 inch asking $275.00 that's $75.99 less then I paid for them my loss your gain. if you want to separate them its $ 150.00 for the black one and 130.00 for the blue one call for more info, 708 six99-7825 CALLS ONLY WILL NOT REPLY TO TEXT OR EMAILS $260.00 OR FAIR REASONABLE OFFER Cash and carry only. Thanks will remove add when sold", new, huffy,,, cantilever, pedal assist, triathlon, frame and fork (full suspension),
11269,150.0,chicago,https://chicago.craigslist.org/nwc/bdp/d/marengo-men-2629-mountain-bikes-page/7471398360.html,2022-04-14 17:48,"Men 26,29, Mountain bikes Page 3 Start At",,,,,10,$225 Men 26 inch Schwinn Clear Creek Hybrid/Mountain bike blue has F/R hand brakes Kickstand Front Shock Quick Release Front Wheel Wide Seat 17 inch Short Frame 21 speeds all tuned up ready to ride.  $425 Men 26 inch Giant Rincon XXL Large Frame 23.5 inch F/R hand brakes Kickstand Brand New Tires Brand New Seat 21 Speeds All tuned up ready to ride.  $400 Men 26 inch Giant Rincon Hybrid/Mountain bike XXL Frame 23.5 inch F/R hand brakes Kickstand 2 Water Bottle holders 21 Speeds Brand New Seat New tires New Pedals All tuned up ready to ride.  $225 Men 26 inch Schwinn Ranger Hybrid/Mountain bike has F/R hand brakes Front Shock Kickstand Water Bottle holder Quick Release Front Wheel 18 inch Frame All tuned up ready to ride.  $225 Men 26 inch Diamond Back Outlook Short Frame Mountain bike has Front Shock Hybrid Tires Quick Release Wheels Kickstand 21 Speeds Water Bottle holder 14 Inch Short Frame For a Short Boy or Man  All tuned up ready to ride.   $185 Men 26 inch GT Timberline Mountain bike XL Frame has 20 inch Frame F/R hand brakes Water Bottle holder kickstand Front Shock Trigger Shifters All tuned up ready to ride.  $125  Men 26 inch Out Fitters 1500 Mt Mountain bike has F/R hand brakes Kickstand Water Bottle holder 18 speeds Center pull brakes Quick Release Front Wheel 19 inch Large Frame all tuned up ready to ride.  $175 Men 26 inch Ozone 500 Silver Canyon Mountain bike has F/R hand brakes Kickstand Water Bottle holder Front Shock Rear Shock 18 Speeds 18 inch Frame All tuned up ready to ride.  $175 Men 26 inch Mongoose GSX 9.0 Dual Suspension Mountain bike has F/R hand brakes 21 Speeds F/R Shocks Kickstand 18 inch Frame All tuned up ready to ride.,,,,,,,,,
11270,249.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-pair-of-adult-bikes-trek/7469625793.html,2022-04-14 15:06,Pair of  Adult Bikes (Trek & Mongoose) for Sale, aluminum, mountain, Unknown, other/unknown,3,Qty. (1) Black & red Trek 820 Aluminum Bike  Qty. (1) Silver Mongoose Sprint 18-Speed Bike  The chain on the Trek bike needs to be repaired. The Mongoose bike has only been ridden a few times. The asking price includes all accessories already installed on the bike. Asking $249 for the set of two bikes. Cash & carry only and serious inquiries only.,, Trek and Mongoose, Trek 820 & Mongoose Sprint,,,,,,
11271,45.0,chicago,https://chicago.craigslist.org/chc/bop/d/chicago-bike-rack-allen-for-bikes/7465298222.html,2022-04-14 12:48,Bike Rack - Allen (For 2 Bikes),,,,,4,Allen Premium Two Bike Trunk Mounted Carrier.  Only used once.  Comes with the original box., like new, Allen, Model 102S,,,,,," racks, fenders, bags"
11272,100.0,chicago,https://chicago.craigslist.org/wcl/bik/d/oak-park-mountain-bikes/7458820331.html,2022-04-14 08:10,mountain bikes, steel, mountain, 54, 26 in,3,In geat shape boys bikes 26-inch tires have a Schwinn. trek. mongoose and others  call    show contact info,,,,,,,,,
11273,4300.0,chicago,https://chicago.craigslist.org/sox/wan/d/chicago-wanted-all-sport-bikes/7471057351.html,2022-04-13 23:45,WANTED ALL SPORT BIKES MOTORCYCLES,,,,,0,"Looking to buy all motorcycles any condition! Yamaha Yfzr r6 r1 kawasaki ninja zx6r zx10r, Gsxr, honda cbr 600 1000, looking more for 2003 and up year bikes, projects, cracked fairings, anything or parts only!!  Clean title or no title! i have cash in hand and can come out ASAP! send me a text or call me with what you have an ill offer you cash same day!  Please call or text me  show contact info",,,,,,,,,
11274,40.0,chicago,https://chicago.craigslist.org/wcl/bik/d/wheaton-16-boys-bikes-huffy-excellent/7460768645.html,2022-04-13 16:02,16” boys bikes huffy-excellent condition, other/unknown, kids, 16 inches, 16 in,5,Very lightly used. training wheels (not pictured) are included. size is recommended for kids ages 3-7.,, huffy, whirl,,,,, none (rigid),
11275,10.0,chicago,https://chicago.craigslist.org/chc/pts/d/chicago-firefly-flashing-led-tire-light/7469801375.html,2022-04-13 09:20,4 Firefly Flashing LED Tire Light Valve Stem Cap Car Bicycles Bikes,,,,,7,"4 Firefly Flashing LED Tire Light Valve Stem Cap Car Bicycles Bikes Motorcycles  New with batteries  10$ for 4 caps  Green,Yellow,Red or Blue to choose from  Picked up near Brickyard Mall", new, FIREFLY," GREEN,BLUE,YELLOW,RED",,,,,,
11276,800.0,chicago,https://chicago.craigslist.org/sox/for/d/homer-glen-mini-bikes/7470632693.html,2022-04-13 00:15,mini bikes,,,,,3,"pair of monster moto, one is electric and the other gas. $800 for both", excellent,,,,,,,,
11277,200.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-two-bikes-for-sale-schwinn-fuji/7470464149.html,2022-04-12 15:11,Two bikes for sale. Schwinn & Fuji,,,,,0,,,,,,,,,,
11278,3000.0,chicago,https://chicago.craigslist.org/nwc/bik/d/island-lake-13-vintage-collection-bikes/7465727239.html,2022-04-12 10:28,13 Vintage collection bikes, other/unknown, mountain, 26, other/unknown,24,13 vintage collection bikes for sale. call or text show contact info,,,,,,,,,
11279,120.0,chicago,https://chicago.craigslist.org/nwc/bik/d/mchenry-ladies-bikes-for-sale/7469715719.html,2022-04-10 23:00,2 ladies bikes for sale, other/unknown, mountain," 26 """, 26 in,9,"We have 2 -  26"" - 21 speed ladies MAGNA  Great Divide REBOUND mountain bikes for sale.  Work fine, just not our size.  CASH only.  Pick up only.  We live by Jewel in McHenry off rte 120.  $65 EACH / $125.00 BOTH  OBO.     Please contact for appointment to look at.", like new, Great Divide,,,,, other/unknown,,
11280,65.0,chicago,https://chicago.craigslist.org/wcl/bab/d/downers-grove-schwinn-deelite-bikes/7464531981.html,2022-04-10 16:22,Schwinn Deelite bikes,,,,,6,"Selling two 20 inch wheel Schwinn Deelite bicycles. Bikes have been very well cared for and are in very good condition, have both hand and coaster brakes. Asking $65 for one or $120 for two. Please email with questions. Thank you.", excellent, Scwinn,, 20 inch,,,,,
11281,300.0,chicago,https://chicago.craigslist.org/sox/atq/d/clarendon-hills-bikes/7465086105.html,2022-04-10 15:41,Bikes,,,,,0,"I have a couple bikes for sale, 300 each. Easy to ride.",, bikes,,,,,,,
11282,1000.0,chicago,https://chicago.craigslist.org/chc/spo/d/chicago-fat-tire-bike/7469552359.html,2022-04-10 14:32,fat tire bike,,,,,11,the bike is in good condition everything works well, excellent, Se Bikes    17, fat tire alumino, 26x4.7,,,,,
11283,55.0,chicago,https://chicago.craigslist.org/nwi/for/d/crown-point-green-machine-trike-bikes/7469534369.html,2022-04-10 13:52,Green Machine Trike & Bikes,,,,,24,"Huffy Green Machine Trike  , overall in Good condition - $55 —see pictures for details  Also some Adults & Kids bikes for sale too , let me know what size you are looking", good,,,,,,,,
11284,475.0,chicago,https://chicago.craigslist.org/sox/bik/d/orland-park-hoffman-bikes-sugarbaby/7469515265.html,2022-04-10 13:10,Hoffman Bikes Sugarbaby, steel, bmx, 19, 20 in,3,"97/98 Hoffman Sugarbaby. Chrome. Hoffman sealed hubs, new double wall rims. Mission bars, Tech 77 levers, Odyssey twisted pedals, Haro seat, 990 rear- Hombre front brakes.", good, Hoffman, Sugarbaby,, u-brakes,, bmx,,
